year,geo_name,geo,income,income_moe
2013,Census Tract 1,14000US06073000100,113000,21763
2013,Census Tract 2.01,14000US06073000201,99130,24891
2013,Census Tract 2.02,14000US06073000202,77872,14547
2013,Census Tract 3,14000US06073000300,58663,5537
2013,Census Tract 4,14000US06073000400,61716,6898
2013,Census Tract 5,14000US06073000500,57024,10760
2013,Census Tract 6,14000US06073000600,62950,16523
2013,Census Tract 7,14000US06073000700,57485,12732
2013,Census Tract 8,14000US06073000800,41811,6142
2013,Census Tract 9,14000US06073000900,46214,4406
2013,Census Tract 10,14000US06073001000,54163,8131
2013,Census Tract 11,14000US06073001100,50256,5015
2013,Census Tract 12,14000US06073001200,42639,6102
2013,Census Tract 13,14000US06073001300,41865,4592
2013,Census Tract 14,14000US06073001400,61146,16557
2013,Census Tract 15,14000US06073001500,51917,6791
2013,Census Tract 16,14000US06073001600,37479,9373
2013,Census Tract 17,14000US06073001700,46027,1429
2013,Census Tract 18,14000US06073001800,42086,7196
2013,Census Tract 19,14000US06073001900,74180,5421
2013,Census Tract 20.01,14000US06073002001,123542,10799
2013,Census Tract 20.02,14000US06073002002,78021,10300
2013,Census Tract 21,14000US06073002100,48214,7111
2013,Census Tract 22.01,14000US06073002201,32589,6906
2013,Census Tract 22.02,14000US06073002202,22473,3784
2013,Census Tract 23.01,14000US06073002301,30558,2811
2013,Census Tract 23.02,14000US06073002302,19881,2952
2013,Census Tract 24.01,14000US06073002401,42118,4064
2013,Census Tract 24.02,14000US06073002402,33936,4043
2013,Census Tract 25.01,14000US06073002501,48886,5844
2013,Census Tract 25.02,14000US06073002502,47099,5777
2013,Census Tract 26.01,14000US06073002601,32939,4775
2013,Census Tract 26.02,14000US06073002602,39846,5199
2013,Census Tract 27.02,14000US06073002702,47445,11103
2013,Census Tract 27.03,14000US06073002703,52440,11312
2013,Census Tract 27.05,14000US06073002705,52371,8902
2013,Census Tract 27.07,14000US06073002707,31732,9474
2013,Census Tract 27.08,14000US06073002708,23081,3310
2013,Census Tract 27.09,14000US06073002709,30147,7345
2013,Census Tract 27.10,14000US06073002710,40353,3905
2013,Census Tract 27.11,14000US06073002711,46136,17149
2013,Census Tract 27.12,14000US06073002712,41167,6803
2013,Census Tract 28.01,14000US06073002801,25236,7897
2013,Census Tract 28.03,14000US06073002803,49111,6269
2013,Census Tract 28.04,14000US06073002804,56806,8293
2013,Census Tract 29.02,14000US06073002902,42099,15106
2013,Census Tract 29.03,14000US06073002903,61979,14046
2013,Census Tract 29.04,14000US06073002904,31092,9446
2013,Census Tract 29.05,14000US06073002905,55560,11430
2013,Census Tract 30.01,14000US06073003001,43378,5758
2013,Census Tract 30.03,14000US06073003003,60882,17653
2013,Census Tract 30.04,14000US06073003004,42723,7313
2013,Census Tract 31.01,14000US06073003101,55640,12341
2013,Census Tract 31.03,14000US06073003103,57429,9202
2013,Census Tract 31.05,14000US06073003105,57586,14333
2013,Census Tract 31.07,14000US06073003107,55565,4101
2013,Census Tract 31.08,14000US06073003108,56500,10292
2013,Census Tract 31.09,14000US06073003109,85568,10232
2013,Census Tract 31.11,14000US06073003111,45025,7924
2013,Census Tract 31.12,14000US06073003112,57577,7635
2013,Census Tract 31.13,14000US06073003113,73004,12079
2013,Census Tract 31.14,14000US06073003114,79367,3738
2013,Census Tract 31.15,14000US06073003115,48333,6105
2013,Census Tract 32.01,14000US06073003201,52297,5079
2013,Census Tract 32.02,14000US06073003202,50786,9922
2013,Census Tract 32.04,14000US06073003204,83529,18358
2013,Census Tract 32.07,14000US06073003207,69201,12083
2013,Census Tract 32.08,14000US06073003208,53543,12227
2013,Census Tract 32.09,14000US06073003209,50056,6124
2013,Census Tract 32.11,14000US06073003211,58684,6977
2013,Census Tract 32.12,14000US06073003212,78452,7609
2013,Census Tract 32.13,14000US06073003213,89753,5832
2013,Census Tract 32.14,14000US06073003214,70368,9829
