STATE,LOGRECNO,GEOID,GEOGRAPHY NAME
CA,0000001,04000US06,California
CA,0000002,04001US06,California -- Urban
CA,0000003,04043US06,California -- Rural
CA,0000004,040A0US06,California -- In metropolitan or micropolitan statistical area
CA,0000005,040C0US06,California -- In metropolitan statistical area
CA,0000006,040C1US06,California -- In metropolitan statistical area -- in principal city
CA,0000007,040C2US06,California -- In metropolitan statistical area -- not in principal city
CA,0000008,040E0US06,California -- In micropolitan statistical area
CA,0000009,040E1US06,California -- In micropolitan statistical area -- in principal city
CA,0000010,040E2US06,California -- In micropolitan statistical area -- not in principal city
CA,0000011,040G0US06,California -- Not in metropolitan or micropolitan statistical area
CA,0000012,040H0US06,California -- Not in metropolitan statistical area
CA,0000013,05000US06001,"Alameda County, California"
CA,0000014,05000US06003,"Alpine County, California"
CA,0000015,05000US06005,"Amador County, California"
CA,0000016,05000US06007,"Butte County, California"
CA,0000017,05000US06009,"Calaveras County, California"
CA,0000018,05000US06011,"Colusa County, California"
CA,0000019,05000US06013,"Contra Costa County, California"
CA,0000020,05000US06015,"Del Norte County, California"
CA,0000021,05000US06017,"El Dorado County, California"
CA,0000022,05000US06019,"Fresno County, California"
CA,0000023,05000US06021,"Glenn County, California"
CA,0000024,05000US06023,"Humboldt County, California"
CA,0000025,05000US06025,"Imperial County, California"
CA,0000026,05000US06027,"Inyo County, California"
CA,0000027,05000US06029,"Kern County, California"
CA,0000028,05000US06031,"Kings County, California"
CA,0000029,05000US06033,"Lake County, California"
CA,0000030,05000US06035,"Lassen County, California"
CA,0000031,05000US06037,"Los Angeles County, California"
CA,0000032,05000US06039,"Madera County, California"
CA,0000033,05000US06041,"Marin County, California"
CA,0000034,05000US06043,"Mariposa County, California"
CA,0000035,05000US06045,"Mendocino County, California"
CA,0000036,05000US06047,"Merced County, California"
CA,0000037,05000US06049,"Modoc County, California"
CA,0000038,05000US06051,"Mono County, California"
CA,0000039,05000US06053,"Monterey County, California"
CA,0000040,05000US06055,"Napa County, California"
CA,0000041,05000US06057,"Nevada County, California"
CA,0000042,05000US06059,"Orange County, California"
CA,0000043,05000US06061,"Placer County, California"
CA,0000044,05000US06063,"Plumas County, California"
CA,0000045,05000US06065,"Riverside County, California"
CA,0000046,05000US06067,"Sacramento County, California"
CA,0000047,05000US06069,"San Benito County, California"
CA,0000048,05000US06071,"San Bernardino County, California"
CA,0000049,05000US06073,"San Diego County, California"
CA,0000050,05000US06075,"San Francisco County, California"
CA,0000051,05000US06077,"San Joaquin County, California"
CA,0000052,05000US06079,"San Luis Obispo County, California"
CA,0000053,05000US06081,"San Mateo County, California"
CA,0000054,05000US06083,"Santa Barbara County, California"
CA,0000055,05000US06085,"Santa Clara County, California"
CA,0000056,05000US06087,"Santa Cruz County, California"
CA,0000057,05000US06089,"Shasta County, California"
CA,0000058,05000US06091,"Sierra County, California"
CA,0000059,05000US06093,"Siskiyou County, California"
CA,0000060,05000US06095,"Solano County, California"
