TRACTNUM,TRACT,SevCrwd,TeenBirthProportion,TeenBirthAllWom,SingMother,MaltrtAllegRate,FosterCareEntry,TotalPov,ChildPov,ProxOffAlco,ProxOnAlco,HghSchOrHigh,TraffInjur,SNAP_FdStmp,PovertyRt,VoterPartic,TotalPopulation,ZIP,City,Longitude,Latitude,CES20Score,CES20PercentileRange,PollutionBurdenScore,PollutionBurdenPctl,LowBirthWeight,LowBirthWeightPctl,Education,EducationPctl,Poverty,PovertyPctl,Unemployment,UnemploymentPctl,PopCharScore,PopCharPctl,NeighborhoodName,n_FoodDesert,pct_FoodDesert,LiqCount,Uninsured
6073005000,50,0.11,0.12727273,0.014028057,0.14119923,157.89999,8.1000004,42.799999,45.900002,100,95.734169,40.700001,168.23,0.21856867,0.42399999,44.0944882,2227,92113,San Diego,-117.1411746,32.6948502,59.90657458,96-100% (highest scores),7.203311756,91.92283759,0.0523791,67.67575682,46.8,90.59612707,74.85594552,96.64607237,NA,NA,8.316532258,95.14611815,Barrio Logan,160.950368,0.210392638,556.75,0.226246719
6073020028,200.28,0.118,0.074468084,0.00625,0.22142121,,0,41,50.200001,100,100,50.900002,11.26,0.20597322,0.37,37.244898,3479,92069,San Marcos,-117.1700975,33.1418052,19.52564439,36-40%,3.410793512,17.64779091,0.049469,32.83712785,55.1,95.54486774,71.79487179,95.06997857,4.31,5.174611267,5.724663286,59.81437351,San Marcos,920.5447713,0.700034047,,0.190999196
6073004501,45.01,0.056000002,0.69999999,0.039018951,0.048,24.4,1.9,17.5,25.6,100,100,71.599998,6.0700002,0.0832,0.15099999,53.6868268,2875,92102,San Diego,-117.1381735,32.717632,21.37710841,41-45%,4.277644435,35.95519602,0.0503795,44.45834376,18,56.51183395,48.19540649,72.33640146,5.66,11.53453989,4.997401896,47.81136335,Golden Hill,0,0,958.33331,0.144167278
6073004800,48,0.15099999,0,0,0.19825919,79.599998,0.80000001,33.400002,39.799999,100,82.527336,51.700001,20.41,0.13346228,0.428,46.9714286,4115,92102,San Diego,-117.1381401,32.708456,36.21503811,71-75%,4.593303755,42.89981332,0.0557581,88.62897173,47,90.78597646,72.60609358,95.53650233,10.62,51.45296967,7.884311606,91.27053807,Grant Hill,0,0,1028.75,0.13736713
6073003601,36.01,0.016000001,0,0,0.31763121,86,4.0999999,25.9,33.599998,67.384613,50.830769,32.299999,52.099998,0.13324361,0.46900001,42.5956739,3250,92113,San Diego,-117.1165151,32.6909862,55.61267326,96-100% (highest scores),6.646059107,84.65463597,0.0503985,44.72104078,65.3,99.02543982,76.63639211,97.50346741,17.84,88.59291359,8.367766877,95.73560768,South Crest,423.1986521,0.355928219,1625,0.1365487
6073018603,186.03,0.059,0,0,0.15083252,92.800003,0,17.1,23.200001,56.19677,41.762115,65.199997,65.599998,0.052399609,0.186,47.6578411,6810,92058,Oceanside,-117.3586267,33.2115108,24.02037409,51-55%,4.675127888,44.61729932,0.0504025,44.75856893,35.6,80.95177826,49.22123331,73.59727651,8.64,34.61636503,5.137907383,50.08152515,Camp Pendleton South,256.5471084,0.139731541,,0.136524524
6073020207,202.07,0.059999999,0,0,0.15959005,85.300003,6.0999999,22.9,27.200001,51.899265,51.899265,60.400002,19.99,0.089311861,0.19,49.5136187,4765,92027,Escondido,-117.0539783,33.1334707,24.0196777,51-55%,3.218052222,14.11325451,0.0522532,66.12459345,47.8,91.34286799,64.27516354,89.59778086,12.91,67.48661738,7.464042235,86.15326728,Town & Country Mh Park,152.2706375,0.092961317,,0.132306394
6073019501,195.01,0.082000002,0,0,0.16666667,57.400002,0,23.9,25,44.827587,17.12081,38.799999,17.469999,0.10539216,0.18799999,37.1373308,4147,92083,Vista,-117.2495976,33.2084741,23.47437341,46-50%,3.045433607,11.66148102,0.0523353,67.13785339,55.6,95.78534363,72.75707899,95.61215484,11.52,58.14427734,7.708056202,89.21359589,Vista Manor Trailer Pa,10.32164598,0.00636353,,0.125525526
6073019502,195.02,0.041999999,0,0,0.13998564,93.5,1,23.6,32.5,67.594048,89.361328,51.400002,7.8299999,0.088298634,0.25999999,41.5981199,5715,92084,Vista,-117.2406651,33.207787,22.71359441,46-50%,3.147137974,13.0056005,0.0553558,87.02777083,60.5,97.87368688,66.79216867,91.75387719,8.69,35.01147081,7.217222315,82.16480622,Sycamore Creek Mh Park,0,0,,0.124091671
6073003602,36.02,0.07,0,0,0.22457068,112.1,1.9,31.799999,34.599998,85.4823,,39.400002,12.19,0.13474241,0.377,46.1632156,3079,92113,San Diego,-117.1074107,32.6929366,41.73955063,81-85%,4.870778481,49.17237088,0.0596522,97.12284213,58.7,97.20288571,70.47279215,94.33867104,12.67,66.04639307,8.569379781,97.10272169,South Crest,92.35527992,0.086313346,1026.3334,0.120059435
6073018000,180,0.005,0,0,0.011771301,57,0,10.7,4.8000002,72.891403,69.496094,98.599998,32.91,0.009529148,0.079000004,64.014014,3711,92008,Carlsbad,-117.3499851,33.1547915,6.634864684,1-5% (lowest scores),3.148713846,13.0304916,0.0499663,39.01676257,1.4,2.923680547,17.58172009,23.23792712,7.33,23.55340301,2.107166611,4.13896902,Carlsbad,294.9615197,0.542208676,,0.119973848
6073020029,200.29,0.037,0,0,0.058417421,,0,14.7,11.3,86.63623,7.5949368,67.099998,46.549999,0.055762082,0.175,53.4986714,4819,92078,San Marcos,-117.189465,33.1392223,36.35336745,71-75%,6.178146289,76.68948351,0.047797,16.47485614,35,80.23035059,71.80489813,95.08258732,5.68,11.68748407,5.884186897,62.23504327,Palomar East Mh Park,706.1956464,0.599486966,,0.119777732
6073007501,75.01,0,0,0,0.053097345,129.89999,0,14.5,36.299999,98.811882,98.811882,91.900002,15.11,0,0.13500001,58.5471773,4040,92107,San Diego,-117.243159,32.751974,7.23976123,1-5% (lowest scores),2.66819405,6.645924082,0.0459777,6.442331749,NA,NA,38.39941263,59.51330223,10.62,51.45296967,2.713356335,10.56064217,Ocean Beach,30.01284772,0.082002316,505,0.119586614
